MARKER_NAMES,Gimbal1 - 1,Gimbal1 - 2,Gimbal1 - 3,Gimbal1 - 4,M2 - 1,M2 - 2,M2 - 3,M2 - 4,M2 - 5,M2 - 6,M2 - 7,M2 - 8,,,,,,,,,,,,,,,,,,,,,,,,,
Frame,Time,Gimbal1 - 1 X,Gimbal1 - 1 Y,Gimbal1 - 1 Z,Gimbal1 - 2 X,Gimbal1 - 2 Y,Gimbal1 - 2 Z,Gimbal1 - 3 X,Gimbal1 - 3 Y,Gimbal1 - 3 Z,Gimbal1 - 4 X,Gimbal1 - 4 Y,Gimbal1 - 4 Z,M2 - 1 X,M2 - 1 Y,M2 - 1 Z,M2 - 2 X,M2 - 2 Y,M2 - 2 Z,M2 - 3 X,M2 - 3 Y,M2 - 3 Z,M2 - 4 X,M2 - 4 Y,M2 - 4 Z,M2 - 5 X,M2 - 5 Y,M2 - 5 Z,M2 - 6 X,M2 - 6 Y,M2 - 6 Z,M2 - 7 X,M2 - 7 Y,M2 - 7 Z,M2 - 8 X,M2 - 8 Y,M2 - 8 Z
15,0.11667,262.152,177.922,132.037,254.867,192.825,210.573,256.921,185.547,171.332,223.678,193.447,208.727,242.369,87.422,15.051,241.89,169.708,16.032,204.491,181.664,15.275,176.53,157.181,94.694,264.284,40.492,15.649,136.939,110.088,14.301,273.239,25.112,-28.138,108.215,225.962,12.385
16,0.125,262.202,177.937,132.057,254.874,192.79,210.565,256.909,185.542,171.327,223.66,193.405,208.701,242.373,87.423,15.098,241.877,169.724,16.042,204.483,181.654,15.268,176.526,157.17,94.715,264.243,40.431,15.693,136.95,110.061,14.328,273.237,25.11,-28.094,108.215,225.942,12.406
17,0.13333,262.154,177.942,132.06,254.862,192.813,210.564,256.935,185.555,171.331,223.703,193.483,208.649,242.374,87.427,15.087,241.857,169.71,16.043,204.478,181.651,15.252,176.516,157.192,94.725,264.266,40.424,15.738,136.92,110.097,14.332,273.245,25.153,-28.093,109.037,226.55,13.367
18,0.14167,262.169,177.921,132.045,254.87,192.801,210.54,256.923,185.538,171.307,223.698,193.461,208.624,242.362,87.42,15.087,241.869,169.716,16.061,204.48,181.642,15.249,176.507,157.174,94.729,264.277,40.467,15.713,136.947,110.086,14.302,273.241,25.122,-28.127,108.264,226.186,11.559
19,0.15,262.163,177.935,132.064,254.867,192.807,210.567,256.891,185.538,171.323,223.703,193.46,208.724,242.34,87.418,15.081,241.854,169.724,16.023,204.48,181.65,15.211,176.502,157.167,94.727,264.261,40.408,15.766,136.919,110.071,14.324,273.241,25.122,-28.127,108.23,225.951,12.411
20,0.15833,262.164,177.925,132.06,255.131,192.919,210.897,256.927,185.528,171.286,223.714,193.411,208.707,242.33,87.44,15.047,241.849,169.706,16.056,204.478,181.64,15.254,176.506,157.159,94.729,264.237,40.414,15.765,136.927,110.091,14.299,273.239,25.112,-28.138,108.236,225.958,12.421
21,0.16667,262.156,177.928,132.058,254.864,192.793,210.558,256.893,185.551,171.325,223.699,193.422,208.694,242.332,87.426,15.066,241.859,169.738,16.018,204.47,181.642,15.262,176.513,157.191,94.723,264.247,40.445,15.725,136.916,110.061,14.304,273.239,25.111,-28.138,108.228,225.969,12.405
22,0.175,262.156,177.918,132.049,254.859,192.809,210.55,256.883,185.569,171.354,223.699,193.473,208.739,242.343,87.436,15.042,241.846,169.732,16.015,204.485,181.652,15.225,176.478,157.174,94.736,264.236,40.407,15.757,136.936,110.059,14.305,273.226,25.072,-28.062,108.234,225.95,12.391
23,0.18333,262.161,177.935,132.031,254.868,192.823,210.563,256.898,185.56,171.323,223.68,193.409,208.673,242.334,87.432,15.072,241.819,169.731,16.001,204.485,181.655,15.255,176.503,157.178,94.728,264.271,40.442,15.668,136.93,110.057,14.289,273.239,25.112,-28.138,108.47,226.144,12.867
24,0.19167,262.148,177.96,132.025,254.851,192.8,210.535,256.887,185.569,171.317,223.714,193.425,208.707,242.349,87.428,15.041,241.855,169.723,16.038,204.465,181.651,15.266,176.489,157.152,94.725,264.236,40.412,15.763,136.919,110.077,14.322,273.239,25.111,-28.138,107.121,224.734,10.677
