MARKER_NAMES,Gimbal1 - 1,Gimbal1 - 2,Gimbal1 - 3,Gimbal1 - 4,M2 - 1,M2 - 2,M2 - 3,M2 - 4,M2 - 5,M2 - 6,M2 - 7,M2 - 8,,,,,,,,,,,,,,,,,,,,,,,,,
Frame,Time,Gimbal1 - 1 X,Gimbal1 - 1 Y,Gimbal1 - 1 Z,Gimbal1 - 2 X,Gimbal1 - 2 Y,Gimbal1 - 2 Z,Gimbal1 - 3 X,Gimbal1 - 3 Y,Gimbal1 - 3 Z,Gimbal1 - 4 X,Gimbal1 - 4 Y,Gimbal1 - 4 Z,M2 - 1 X,M2 - 1 Y,M2 - 1 Z,M2 - 2 X,M2 - 2 Y,M2 - 2 Z,M2 - 3 X,M2 - 3 Y,M2 - 3 Z,M2 - 4 X,M2 - 4 Y,M2 - 4 Z,M2 - 5 X,M2 - 5 Y,M2 - 5 Z,M2 - 6 X,M2 - 6 Y,M2 - 6 Z,M2 - 7 X,M2 - 7 Y,M2 - 7 Z,M2 - 8 X,M2 - 8 Y,M2 - 8 Z
1513,12.6,263.709,175.564,132.035,256.967,190.266,210.681,258.694,183.104,171.468,225.908,191.466,209.059,241.63,85.911,14.763,242.852,168.17,16.217,205.756,180.613,15.634,177.568,156.403,95.375,263.938,39.408,16.236,136.789,110.105,14.428,271.423,22.23,-27.192,110.235,226.476,13.485
1514,12.60833,263.691,175.477,132.111,256.908,190.098,210.801,258.633,183.002,171.496,225.843,191.224,209.161,241.597,85.916,14.746,242.85,168.131,16.212,205.805,180.652,15.7,177.489,156.396,95.376,263.891,39.403,16.276,136.76,110.176,14.484,271.363,22.203,-27.164,110.215,226.477,13.456
1515,12.61667,263.657,175.405,132.09,256.755,189.956,210.877,258.594,182.878,171.503,225.754,191.187,209.092,241.634,85.88,14.748,242.821,168.104,16.295,205.73,180.593,15.596,177.485,156.361,95.321,263.927,39.414,16.241,136.753,110.116,14.441,271.399,22.207,-27.193,110.222,226.55,12.97
1516,12.625,263.623,175.374,132.101,256.746,189.971,210.84,258.538,182.849,171.507,225.712,191.141,209.185,241.61,85.818,14.73,242.861,167.983,16.16,205.823,180.543,15.715,177.413,156.353,95.418,263.919,39.362,16.263,136.756,110.114,14.421,271.359,22.135,-27.181,110.484,226.619,13.844
1517,12.63333,263.615,175.368,132.112,256.691,189.985,210.852,258.526,182.866,171.497,225.671,191.182,209.107,241.622,85.833,14.754,242.802,168.027,16.275,205.715,180.542,15.549,177.409,156.334,95.365,263.873,39.327,16.298,136.753,110.089,14.437,271.322,22.087,-27.205,110.193,226.428,13.246
1518,12.64167,263.615,175.346,132.127,256.689,189.961,210.804,258.526,182.882,171.472,225.658,191.168,209.094,241.618,85.761,14.746,242.818,167.995,16.249,205.718,180.493,15.596,177.374,156.327,95.35,263.872,39.272,16.292,136.71,110.048,14.413,271.34,22.069,-27.175,110.223,226.37,13.391
1519,12.65,263.583,175.37,132.095,256.705,189.994,210.789,258.491,182.871,171.453,225.664,191.204,209.078,241.585,85.813,14.739,242.85,168.032,16.227,205.723,180.501,15.604,177.41,156.262,95.207,263.918,39.339,16.262,136.717,110.049,14.409,271.341,22.092,-27.19,110.472,226.561,13.698
1520,12.65833,263.633,175.395,132.064,256.761,190.034,210.753,258.54,182.934,171.499,225.682,191.221,209.094,241.628,85.803,14.743,242.805,168.036,16.262,205.734,180.519,15.584,177.387,156.274,95.226,263.948,39.319,16.236,136.733,110.045,14.4,271.365,22.098,-27.208,110.136,226.365,13.202
1521,12.66667,263.608,175.409,132.044,256.764,190.081,210.72,258.549,182.929,171.467,225.729,191.285,209.06,241.654,85.833,14.692,242.798,168.046,16.223,205.714,180.506,15.529,177.368,156.295,95.181,263.971,39.386,16.285,136.751,110.004,14.387,271.405,22.138,-27.206,110.107,226.322,13.168
1522,12.675,263.542,175.483,131.979,256.8,190.141,210.641,258.505,183.014,171.375,225.736,191.365,209.077,241.639,85.849,14.727,242.736,168.1,16.192,205.596,180.512,15.444,177.338,156.277,95.087,264.03,39.463,16.255,136.768,109.946,14.344,271.473,22.149,-27.193,109.995,226.272,12.976
1523,12.68333,263.416,175.689,131.886,256.639,190.303,210.542,258.372,183.189,171.35,225.531,191.425,208.948,241.628,85.904,14.719,242.679,168.166,16.098,205.531,180.537,15.339,177.218,156.329,95.019,264.031,39.447,16.274,136.74,109.947,14.322,271.494,22.193,-27.092,109.897,226.251,12.766
1524,12.69167,263.303,175.895,131.913,256.387,190.602,210.462,258.202,183.413,171.344,225.329,191.721,208.879,241.606,85.952,14.691,242.673,168.187,16.062,205.52,180.577,15.245,177.075,156.415,94.945,264.008,39.497,16.307,136.754,109.994,14.293,271.484,22.256,-27.176,109.886,226.28,12.662
1525,12.7,263.192,176.083,131.939,256.229,191.102,210.571,257.954,183.731,171.335,225.027,192.083,208.739,241.63,85.96,14.711,242.652,168.259,16.077,205.52,180.596,15.244,177.056,156.588,94.963,263.977,39.515,16.386,136.716,110.034,14.275,271.516,22.3,-27.05,110.107,226.472,12.857
1526,12.70833,263.147,176.258,132.03,256.034,191.367,210.565,257.802,183.936,171.336,224.817,192.285,208.675,241.563,86.002,14.776,242.656,168.275,16.054,205.517,180.666,15.19,177.062,156.71,94.912,263.922,39.521,16.477,136.704,110.069,14.265,271.475,22.281,-26.986,110.172,226.574,12.912
1527,12.71667,263.084,176.329,131.992,255.947,191.443,210.528,257.73,184.023,171.282,224.709,192.344,208.646,241.552,86.043,14.778,242.642,168.304,16.057,205.482,180.683,15.133,177.019,156.795,94.898,263.896,39.563,16.569,136.681,110.08,14.252,271.476,22.28,-26.839,109.844,226.429,12.393
1528,12.725,263.014,176.32,131.944,255.946,191.438,210.532,257.724,183.985,171.286,224.738,192.367,208.632,241.537,86.071,14.816,242.605,168.348,16.022,205.485,180.734,15.127,176.916,156.865,94.895,263.882,39.607,16.637,136.65,110.115,14.252,271.505,22.32,-26.765,109.834,226.436,12.341
1529,12.73333,263.001,176.341,131.92,256.014,191.433,210.517,257.749,184.052,171.266,224.789,192.421,208.667,241.52,86.077,14.847,242.597,168.385,16.064,205.484,180.735,15.125,176.964,156.95,94.939,263.882,39.637,16.645,136.671,110.144,14.268,271.514,22.364,-26.779,109.853,226.449,12.295
1530,12.74167,263.034,176.345,131.928,256.004,191.464,210.541,257.768,184.064,171.28,224.803,192.435,208.68,241.553,86.084,14.824,242.635,168.344,16.023,205.493,180.738,15.138,176.943,156.887,94.924,263.885,39.627,16.611,136.676,110.145,14.253,271.491,22.345,-26.774,109.841,226.39,12.38
1531,12.75,263.054,176.32,131.925,255.959,191.411,210.505,257.778,184.013,171.267,224.753,192.359,208.61,241.547,86.051,14.804,242.643,168.305,16.019,205.479,180.686,15.125,176.963,156.829,94.888,263.88,39.595,16.551,136.695,110.116,14.233,271.479,22.299,-26.8,109.883,226.446,12.344
1532,12.75833,263.106,176.229,131.926,256.057,191.343,210.531,257.847,183.931,171.262,224.864,192.345,208.637,241.55,86.015,14.797,242.655,168.315,16.004,205.519,180.692,15.115,177.011,156.854,94.897,263.885,39.568,16.553,136.669,110.132,14.26,271.484,22.282,-26.819,109.946,226.436,12.349
1533,12.76667,263.158,176.173,131.891,256.215,191.204,210.52,257.941,183.848,171.26,225.034,192.261,208.707,241.556,86.049,14.815,242.649,168.306,16.02,205.521,180.685,15.153,176.973,156.85,94.886,263.881,39.584,16.526,136.68,110.159,14.23,271.452,22.283,-26.841,109.243,224.839,14.163
1534,12.775,263.155,176.124,131.888,256.209,191.059,210.376,258.006,183.792,171.24,225.122,192.254,208.713,241.528,86.051,14.799,242.642,168.266,15.981,205.505,180.713,15.159,176.954,156.846,94.892,263.866,39.573,16.598,136.681,110.116,14.243,271.469,22.311,-26.901,109.896,226.462,12.295
1535,12.78333,263.151,176.136,131.895,256.173,191.136,210.366,257.986,183.855,171.215,225.075,192.305,208.681,241.546,86.045,14.812,242.633,168.335,16.003,205.51,180.709,15.167,176.975,156.878,94.903,263.87,39.591,16.563,136.678,110.11,14.242,271.485,22.322,-26.853,109.868,226.465,12.342
1536,12.79167,263.129,176.228,131.902,256.147,191.302,210.516,257.894,183.925,171.233,224.963,192.346,208.642,241.555,86.05,14.785,242.638,168.314,16.017,205.504,180.7,15.113,176.985,156.836,94.886,263.852,39.569,16.601,136.665,110.14,14.283,271.456,22.281,-26.832,109.894,226.484,12.306
1537,12.8,263.091,176.271,131.911,256.04,191.386,210.525,257.813,183.986,171.254,224.841,192.388,208.635,241.542,86.054,14.797,242.65,168.318,16.006,205.52,180.693,15.154,176.987,156.856,94.873,263.866,39.581,16.57,136.674,110.142,14.257,271.468,22.27,-26.828,110.519,226.927,12.871
1538,12.80833,263.074,176.263,131.903,256.035,191.399,210.515,257.813,183.998,171.266,224.827,192.345,208.646,241.519,86.064,14.797,242.629,168.327,16.029,205.53,180.732,15.12,176.989,156.868,94.881,263.883,39.585,16.554,136.675,110.127,14.268,271.472,22.281,-26.845,110.058,226.829,11.88
1539,12.81667,263.085,176.256,131.912,256.073,191.321,210.541,257.826,183.927,171.298,224.864,192.295,208.667,241.526,86.056,14.766,242.632,168.314,16.052,205.497,180.703,15.147,177,156.871,94.909,263.863,39.563,16.595,136.672,110.122,14.253,271.467,22.313,-26.849,109.882,226.441,12.337
1540,12.825,263.077,176.197,131.933,256.092,191.255,210.525,257.853,183.878,171.292,224.89,192.268,208.692,241.534,86.05,14.8,242.638,168.305,15.987,205.504,180.706,15.116,176.984,156.844,94.872,263.867,39.545,16.598,136.688,110.127,14.241,271.45,22.304,-26.814,109.883,226.478,12.328
1541,12.83333,263.14,176.186,131.906,256.145,191.232,210.532,257.856,183.844,171.275,224.929,192.239,208.673,241.552,86.039,14.77,242.64,168.305,16.028,205.523,180.688,15.117,176.991,156.829,94.889,263.891,39.576,16.538,136.685,110.123,14.242,271.458,22.292,-26.905,109.902,226.459,12.328
1542,12.84167,263.148,176.199,131.889,256.187,191.234,210.528,257.935,183.883,171.236,225.041,192.287,208.662,241.536,86.025,14.786,242.66,168.323,16.009,205.513,180.713,15.132,177.004,156.852,94.895,263.868,39.561,16.554,136.671,110.127,14.247,271.455,22.314,-26.896,109.92,226.474,12.316
1543,12.85,263.158,176.205,131.883,256.23,191.275,210.512,257.934,183.907,171.239,225.043,192.353,208.664,241.549,86.033,14.786,242.647,168.313,16.034,205.538,180.698,15.102,177.015,156.853,94.894,263.875,39.571,16.578,136.686,110.125,14.225,271.48,22.29,-26.853,109.908,226.461,12.33
1544,12.85833,263.149,176.211,131.866,256.206,191.291,210.503,257.923,183.92,171.226,225.029,192.336,208.711,241.546,86.045,14.776,242.652,168.31,15.997,205.514,180.709,15.128,176.989,156.835,94.921,263.857,39.559,16.58,136.69,110.132,14.238,271.474,22.309,-26.87,110.012,226.539,12.462
1545,12.86667,263.114,176.242,131.889,256.143,191.314,210.494,257.886,183.95,171.243,224.978,192.349,208.634,241.558,86.022,14.801,242.654,168.29,16.022,205.502,180.706,15.157,176.984,156.845,94.903,263.875,39.575,16.564,136.683,110.129,14.263,271.451,22.268,-26.845,110.073,226.551,12.481
1546,12.875,263.122,176.214,131.916,256.091,191.292,210.542,257.85,183.906,171.268,224.889,192.314,208.656,241.548,85.996,14.798,242.659,168.317,15.98,205.52,180.682,15.153,176.991,156.855,94.893,263.886,39.574,16.531,136.697,110.135,14.238,271.47,22.269,-26.85,108.73,225.247,10.576
1547,12.88333,263.093,176.217,131.91,256.065,191.265,210.521,257.831,183.882,171.274,224.867,192.286,208.692,241.544,86.031,14.789,242.654,168.306,16.027,205.506,180.705,15.157,176.998,156.858,94.887,263.864,39.566,16.591,136.69,110.143,14.221,271.45,22.29,-26.875,110.048,226.852,11.805
1548,12.89167,263.108,176.194,131.923,256.103,191.27,210.54,257.86,183.893,171.273,224.898,192.285,208.649,241.552,86.038,14.792,242.644,168.311,16.027,205.508,180.672,15.126,176.986,156.842,94.879,263.878,39.586,16.548,136.669,110.117,14.244,271.452,22.289,-26.849,109.366,225.322,13.724
1549,12.9,263.137,176.193,131.908,256.161,191.244,210.509,257.9,183.883,171.249,224.967,192.286,208.687,241.516,86.032,14.772,242.658,168.322,16.012,205.517,180.716,15.135,176.971,156.83,94.879,263.875,39.559,16.559,136.691,110.13,14.22,271.491,22.251,-26.859,109.884,226.473,12.327
1550,12.90833,263.141,176.219,131.865,256.176,191.293,210.495,257.9,183.911,171.223,224.998,192.335,208.681,241.547,86.043,14.771,242.635,168.32,16.025,205.526,180.723,15.151,177.038,156.874,94.932,263.869,39.576,16.552,136.674,110.127,14.247,271.457,22.279,-26.87,109.902,226.464,12.328
1551,12.91667,263.14,176.221,131.864,256.189,191.298,210.485,257.917,183.932,171.253,225.038,192.362,208.636,241.523,86.029,14.806,242.634,168.324,16.032,205.523,180.721,15.114,177.003,156.831,94.905,263.883,39.555,16.536,136.688,110.129,14.242,271.456,22.291,-26.856,109.91,226.468,12.303
1552,12.925,263.126,176.245,131.9,256.179,191.291,210.515,257.912,183.905,171.202,225.007,192.328,208.631,241.534,86.046,14.793,242.633,168.324,16.027,205.525,180.724,15.158,177.007,156.85,94.897,263.873,39.547,16.537,136.679,110.129,14.239,271.442,22.288,-26.837,109.9,226.458,12.322
1553,12.93333,263.117,176.202,131.909,256.16,191.281,210.506,257.887,183.905,171.253,224.964,192.322,208.674,241.544,86.035,14.798,242.631,168.317,16.024,205.518,180.716,15.104,177.002,156.824,94.849,263.875,39.551,16.539,136.662,110.126,14.253,271.45,22.295,-26.883,109.904,226.468,12.301
1554,12.94167,263.117,176.217,131.903,256.136,191.255,210.516,257.868,183.854,171.28,224.927,192.277,208.69,241.55,86.029,14.786,242.639,168.295,15.978,205.513,180.682,15.183,176.999,156.85,94.841,263.879,39.569,16.583,136.668,110.124,14.255,271.458,22.278,-26.853,109.919,226.474,12.313
1555,12.95,263.117,176.218,131.913,256.126,191.234,210.51,257.872,183.896,171.276,224.916,192.267,208.683,241.532,86.019,14.78,242.645,168.308,16.034,205.499,180.704,15.145,177.001,156.851,94.879,263.892,39.564,16.546,136.69,110.137,14.234,271.48,22.3,-26.876,109.896,226.447,12.348
1556,12.95833,263.131,176.2,131.877,256.111,191.273,210.515,257.876,183.868,171.257,224.935,192.311,208.711,241.553,86.036,14.793,242.643,168.294,16.01,205.509,180.704,15.126,177.011,156.86,94.91,263.895,39.572,16.514,136.663,110.129,14.241,271.475,22.281,-26.871,109.904,226.463,12.324
1557,12.96667,263.143,176.208,131.905,256.154,191.272,210.532,257.883,183.872,171.273,224.984,192.342,208.624,241.544,86.03,14.788,242.638,168.3,16.027,205.541,180.711,15.142,177.022,156.878,94.9,263.856,39.57,16.567,136.69,110.143,14.237,271.454,22.278,-26.916,109.909,226.473,12.307
1558,12.975,263.158,176.218,131.867,256.196,191.272,210.515,257.938,183.895,171.247,225.009,192.285,208.669,241.553,86.035,14.792,242.648,168.306,16.025,205.522,180.688,15.122,177.006,156.859,94.865,263.871,39.548,16.565,136.673,110.123,14.252,271.455,22.3,-26.897,109.922,226.479,12.326
1559,12.98333,263.155,176.214,131.871,256.214,191.265,210.493,257.906,183.879,171.241,225.012,192.32,208.69,241.54,86.026,14.783,242.629,168.324,15.999,205.514,180.714,15.133,177.02,156.845,94.903,263.872,39.557,16.543,136.691,110.134,14.227,271.47,22.283,-26.855,109.97,226.501,12.382
1560,12.99167,263.147,176.195,131.891,256.184,191.28,210.526,257.877,183.884,171.27,225.001,192.311,208.682,241.545,86.033,14.797,242.647,168.313,16.035,205.521,180.687,15.151,177.019,156.835,94.875,263.912,39.578,16.498,136.669,110.131,14.241,271.458,22.281,-26.874,110.128,226.622,12.637
1561,13,263.122,176.206,131.886,256.146,191.264,210.513,257.882,183.89,171.232,224.955,192.298,208.644,241.548,86.034,14.755,242.628,168.309,16.012,205.52,180.686,15.112,177.013,156.844,94.886,263.895,39.571,16.499,136.673,110.122,14.233,271.472,22.3,-26.937,110.204,226.685,12.809
1562,13.00833,263.13,176.225,131.88,256.151,191.278,210.503,257.865,183.871,171.243,224.948,192.294,208.671,241.555,86.051,14.776,242.633,168.3,16.017,205.521,180.715,15.145,176.983,156.812,94.873,263.884,39.585,16.518,136.665,110.133,14.26,271.463,22.313,-26.914,109.934,226.463,12.321
1563,13.01667,263.127,176.218,131.918,256.142,191.306,210.515,257.885,183.902,171.244,224.941,192.332,208.667,241.523,86.034,14.781,242.642,168.313,16.037,205.535,180.703,15.132,176.995,156.851,94.878,263.887,39.558,16.532,136.682,110.124,14.242,271.457,22.281,-26.872,110.047,226.553,12.493
1564,13.025,263.12,176.212,131.89,256.146,191.282,210.501,257.9,183.889,171.208,224.942,192.314,208.678,241.547,86.02,14.783,242.63,168.325,16.031,205.502,180.704,15.152,177.007,156.84,94.877,263.878,39.547,16.529,136.693,110.13,14.237,271.455,22.281,-26.927,110.612,227.02,13.185
1565,13.03333,263.138,176.226,131.895,256.14,191.258,210.511,257.912,183.897,171.267,224.956,192.334,208.662,241.535,86.042,14.751,242.65,168.309,15.992,205.516,180.716,15.135,176.995,156.846,94.866,263.894,39.562,16.508,136.682,110.124,14.232,271.455,22.292,-26.92,110.561,226.96,12.86
1566,13.04167,263.143,176.189,131.878,256.206,191.243,210.507,257.919,183.86,171.237,224.993,192.307,208.642,241.535,86.046,14.791,242.656,168.319,16.015,205.512,180.707,15.129,177.01,156.845,94.907,263.9,39.555,16.515,136.683,110.119,14.241,271.455,22.298,-26.936,109.797,226.255,11.887
1567,13.05,263.141,176.202,131.861,256.189,191.253,210.534,257.906,183.878,171.238,225,192.309,208.639,241.559,86.051,14.732,242.635,168.292,16.013,205.509,180.706,15.124,176.985,156.834,94.868,263.888,39.551,16.523,136.679,110.152,14.236,271.468,22.337,-26.965,109.557,226.078,11.711
1568,13.05833,263.146,176.206,131.867,256.197,191.285,210.5,257.917,183.898,171.265,224.986,192.289,208.655,241.557,86.045,14.774,242.652,168.322,16.01,205.513,180.709,15.127,177.035,156.872,94.911,263.905,39.561,16.517,136.678,110.114,14.254,271.478,22.302,-26.935,108.748,225.287,10.703
1569,13.06667,263.126,176.211,131.888,256.167,191.262,210.502,257.896,183.915,171.263,224.949,192.298,208.678,241.559,86.011,14.779,242.656,168.288,15.953,205.534,180.656,15.098,177.009,156.839,94.914,263.881,39.57,16.525,136.678,110.124,14.222,271.452,22.281,-26.88,108.893,225.396,10.848
1570,13.075,263.132,176.227,131.909,256.148,191.278,210.534,257.888,183.91,171.285,224.943,192.292,208.674,241.548,86.037,14.794,242.669,168.313,16.017,205.514,180.711,15.129,177.015,156.857,94.913,263.889,39.561,16.527,136.699,110.131,14.224,271.46,22.29,-26.887,108.864,225.361,10.804
1571,13.08333,263.133,176.193,131.904,256.145,191.275,210.498,257.883,183.863,171.288,224.956,192.295,208.675,241.555,86.05,14.774,242.642,168.333,16.007,205.508,180.673,15.133,177.012,156.854,94.897,263.89,39.573,16.519,136.68,110.132,14.237,271.456,22.271,-26.882,108.77,225.276,10.708
1572,13.09167,263.144,176.2,131.892,256.165,191.263,210.511,257.89,183.869,171.259,224.95,192.287,208.665,241.54,86.025,14.782,242.641,168.29,15.994,205.539,180.706,15.103,176.998,156.842,94.875,263.876,39.541,16.553,136.689,110.133,14.274,271.449,22.323,-26.939,108.711,225.227,10.644
1573,13.1,263.161,176.214,131.9,256.165,191.283,210.55,257.898,183.882,171.259,224.988,192.302,208.675,241.564,86.053,14.78,242.663,168.324,16.012,205.514,180.715,15.131,177.023,156.871,94.928,263.893,39.563,16.496,136.675,110.138,14.264,271.456,22.323,-26.958,109.533,226.056,11.677
1574,13.10833,263.156,176.199,131.89,256.186,191.27,210.492,257.931,183.888,171.241,225.014,192.338,208.642,241.562,86.044,14.774,242.645,168.304,16.023,205.526,180.688,15.083,177.002,156.839,94.879,263.879,39.584,16.491,136.68,110.121,14.236,271.45,22.264,-26.879,109.83,226.274,11.935
1575,13.11667,263.149,176.198,131.863,256.199,191.284,210.505,257.927,183.911,171.245,225.006,192.32,208.668,241.574,86.015,14.787,242.667,168.331,16.02,205.537,180.733,15.131,177.01,156.839,94.876,263.884,39.551,16.514,136.682,110.13,14.268,271.45,22.259,-26.912,109.803,226.256,11.892
1576,13.125,263.14,176.206,131.881,256.171,191.284,210.516,257.914,183.899,171.23,224.98,192.332,208.683,241.544,86.034,14.757,242.647,168.307,16.03,205.512,180.709,15.162,177.016,156.831,94.91,263.898,39.555,16.523,136.695,110.11,14.233,271.48,22.305,-26.943,110.467,226.795,12.693
1577,13.13333,263.131,176.215,131.897,256.151,191.264,210.519,257.887,183.9,171.254,224.96,192.305,208.654,241.541,86.059,14.763,242.649,168.318,16.002,205.519,180.712,15.131,176.999,156.838,94.863,263.886,39.572,16.517,136.683,110.148,14.234,271.447,22.299,-26.918,110.506,226.907,12.808
1578,13.14167,263.119,176.22,131.9,256.164,191.262,210.5,257.915,183.903,171.24,224.954,192.308,208.657,241.536,86.019,14.767,242.624,168.301,15.962,205.54,180.698,15.102,177.007,156.822,94.838,263.88,39.548,16.514,136.696,110.116,14.215,271.457,22.318,-26.941,110.556,226.993,12.894
1579,13.15,263.126,176.181,131.898,256.164,191.263,210.51,257.893,183.906,171.28,224.973,192.283,208.684,241.528,86.044,14.744,242.653,168.314,16.034,205.536,180.702,15.138,177.002,156.831,94.867,263.881,39.576,16.509,136.681,110.123,14.231,271.472,22.299,-26.953,110.54,226.951,12.828
1580,13.15833,263.138,176.21,131.875,256.189,191.271,210.491,257.89,183.882,171.249,224.986,192.299,208.662,241.554,86.036,14.76,242.654,168.313,16.005,205.534,180.688,15.121,177.025,156.848,94.881,263.893,39.571,16.488,136.692,110.143,14.238,271.453,22.281,-26.864,110.527,226.856,12.763
1581,13.16667,263.15,176.207,131.9,256.194,191.274,210.519,257.91,183.888,171.244,224.993,192.305,208.678,241.545,86.027,14.748,242.656,168.276,15.944,205.515,180.677,15.105,177.008,156.845,94.89,263.876,39.584,16.489,136.673,110.131,14.24,271.457,22.312,-26.974,110.506,226.849,12.72
1582,13.175,263.149,176.192,131.877,256.196,191.276,210.52,257.93,183.876,171.222,225.009,192.299,208.688,241.555,86.008,14.778,242.658,168.32,15.977,205.536,180.693,15.098,177.008,156.841,94.878,263.888,39.574,16.501,136.686,110.123,14.243,271.451,22.247,-26.866,110.466,226.796,12.631
1583,13.18333,263.166,176.198,131.894,256.179,191.263,210.54,257.888,183.888,171.233,225.023,192.309,208.665,241.569,86.016,14.784,242.644,168.3,16.055,205.523,180.718,15.142,177.007,156.838,94.899,263.879,39.567,16.501,136.683,110.143,14.234,271.456,22.275,-26.907,110.435,226.77,12.659
1584,13.19167,263.142,176.203,131.894,256.17,191.239,210.509,257.888,183.858,171.257,224.973,192.29,208.661,241.544,86.026,14.77,242.638,168.303,15.987,205.515,180.707,15.13,177.021,156.843,94.885,263.9,39.558,16.48,136.678,110.127,14.214,271.446,22.299,-26.935,110.459,226.817,12.709
1585,13.2,263.156,176.208,131.894,256.157,191.265,210.521,257.913,183.888,171.223,224.957,192.276,208.677,241.56,86.03,14.761,242.659,168.328,16.023,205.555,180.682,15.094,177.013,156.831,94.911,263.889,39.555,16.495,136.686,110.124,14.224,271.45,22.261,-26.874,110.454,226.792,12.651
1586,13.20833,263.173,176.211,131.929,256.148,191.263,210.518,257.879,183.889,171.235,224.974,192.287,208.691,241.55,86.024,14.778,242.65,168.304,15.989,205.514,180.709,15.128,176.975,156.813,94.877,263.877,39.549,16.496,136.676,110.125,14.239,271.45,22.282,-26.889,110.43,226.794,12.674
1587,13.21667,263.125,176.199,131.873,256.17,191.291,210.519,257.893,183.881,171.242,224.964,192.273,208.674,241.532,86.033,14.778,242.654,168.304,16.029,205.529,180.696,15.132,177,156.822,94.879,263.894,39.569,16.501,136.697,110.142,14.229,271.45,22.282,-26.889,110.448,226.813,12.665
1588,13.225,263.146,176.235,131.887,256.172,191.256,210.501,257.926,183.873,171.249,224.979,192.319,208.67,241.557,86.042,14.767,242.653,168.317,16.003,205.539,180.699,15.102,177.011,156.84,94.876,263.894,39.569,16.494,136.669,110.132,14.28,271.456,22.308,-26.962,110.466,226.801,12.663
1589,13.23333,263.141,176.203,131.861,256.187,191.252,210.487,257.911,183.884,171.245,224.962,192.299,208.648,241.548,86.034,14.755,242.652,168.309,15.996,205.541,180.699,15.142,176.992,156.845,94.933,263.913,39.585,16.469,136.668,110.139,14.241,271.472,22.297,-26.891,110.456,226.797,12.654
1590,13.24167,263.146,176.22,131.863,256.181,191.261,210.48,257.926,183.87,171.249,224.986,192.287,208.686,241.554,86.031,14.784,242.63,168.322,16.025,205.509,180.706,15.125,177.022,156.865,94.906,263.889,39.574,16.492,136.679,110.126,14.236,271.458,22.303,-26.931,110.457,226.821,12.67
1591,13.25,263.14,176.199,131.912,256.185,191.258,210.505,257.93,183.877,171.246,224.993,192.3,208.666,241.522,86.038,14.78,242.636,168.299,16.02,205.508,180.673,15.133,177.017,156.842,94.891,263.86,39.57,16.528,136.682,110.123,14.241,271.458,22.275,-26.889,110.446,226.814,12.662
1592,13.25833,263.139,176.193,131.919,256.18,191.267,210.541,257.906,183.896,171.271,224.973,192.278,208.685,241.545,86.029,14.78,242.635,168.294,16.01,205.507,180.701,15.086,177.019,156.839,94.856,263.877,39.543,16.517,136.688,110.14,14.223,271.426,22.285,-26.917,110.46,226.798,12.659
1593,13.26667,263.131,176.223,131.897,256.157,191.274,210.507,257.918,183.876,171.224,224.977,192.287,208.688,241.546,86.041,14.757,242.65,168.303,15.986,205.527,180.719,15.147,177.032,156.869,94.893,263.88,39.542,16.51,136.685,110.117,14.241,271.452,22.276,-26.912,110.429,226.799,12.678
1594,13.275,263.143,176.231,131.881,256.159,191.279,210.494,257.898,183.888,171.251,224.958,192.31,208.664,241.557,86.023,14.759,242.647,168.3,16.007,205.51,180.71,15.13,177.012,156.833,94.865,263.876,39.565,16.504,136.678,110.123,14.245,271.474,22.296,-26.932,110.456,226.784,12.682
1595,13.28333,263.141,176.199,131.888,256.171,191.251,210.515,257.924,183.881,171.241,224.985,192.29,208.655,241.535,86.023,14.775,242.642,168.32,16.016,205.527,180.719,15.148,177.019,156.849,94.884,263.878,39.584,16.498,136.681,110.132,14.253,271.448,22.262,-26.874,110.445,226.78,12.673
1596,13.29167,263.138,176.195,131.891,256.186,191.257,210.497,257.92,183.885,171.244,224.971,192.313,208.666,241.559,86.037,14.763,242.66,168.327,16.021,205.496,180.698,15.109,177.013,156.815,94.851,263.898,39.573,16.474,136.694,110.115,14.23,271.452,22.324,-26.967,110.457,226.795,12.661
1597,13.3,263.138,176.194,131.882,256.183,191.217,210.5,257.933,183.886,171.238,224.987,192.298,208.669,241.537,86.021,14.776,242.663,168.282,16.01,205.521,180.721,15.108,177.013,156.833,94.865,263.902,39.593,16.488,136.695,110.146,14.228,271.458,22.306,-26.991,110.429,226.767,12.65
1598,13.30833,263.134,176.19,131.885,256.182,191.266,210.474,257.92,183.911,171.249,225,192.314,208.646,241.566,86.02,14.77,242.652,168.317,16.003,205.532,180.698,15.129,177.014,156.83,94.846,263.891,39.57,16.506,136.684,110.121,14.241,271.452,22.294,-26.965,110.464,226.793,12.693
1599,13.31667,263.144,176.2,131.879,256.185,191.263,210.511,257.92,183.858,171.27,224.988,192.307,208.675,241.537,86.021,14.775,242.659,168.325,16.016,205.526,180.725,15.15,177.006,156.83,94.887,263.893,39.579,16.516,136.693,110.129,14.242,271.457,22.318,-26.943,110.442,226.777,12.667
1600,13.325,263.134,176.185,131.87,256.171,191.255,210.5,257.896,183.914,171.253,224.982,192.289,208.695,241.567,86.026,14.763,242.636,168.322,16.02,205.51,180.706,15.125,177.011,156.848,94.888,263.884,39.56,16.479,136.69,110.13,14.228,271.453,22.261,-26.903,110.445,226.804,12.691
